country,customer_id,total_sales,rank_no
Australia,12415,19543.84,1
Australia,12431,2543.37,2
Australia,12424,1528.82,3
Australia,12389,1433.33,4
Australia,12422,1363.45,5
Australia,12388,1120.45,6
Australia,12393,794.15,7
Australia,12411,346.90,8
Australia,12434,297.29,9
Australia,12386,258.90,10
Australia,12392,234.75,11
Australia,12400,205.25,12
Australia,12416,202.56,13
Australia,12387,143.94,14
Australia,16321,34.80,15
Austria,12358,2719.01,1
Austria,12374,2246.29,2
Austria,12369,1791.15,3
Austria,12865,1755.24,4
Austria,12360,1550.83,5
Austria,12370,774.62,6
Austria,12440,768.15,7
Austria,12373,763.05,8
Austria,12817,524.94,9
Austria,12414,130.00,10
Bahrain,,1507.18,1
Bahrain,12355,488.21,2
Bahrain,12353,317.76,3
Belgium,12380,5167.44,1
Belgium,12417,2927.35,2
Belgium,12395,2048.64,3
Belgium,12385,1923.40,4
Belgium,12876,1850.57,5
Belgium,12431,1759.65,6
Belgium,12408,1437.07,7
Belgium,12402,1018.55,8
Belgium,12874,933.42,9
Belgium,12399,853.65,10
Belgium,12379,767.98,11
Belgium,12866,668.23,12
Belgium,12423,464.28,13
Belgium,12460,326.65,14
Belgium,12361,321.35,15
Belgium,12362,130.00,16
Belgium,13022,65.30,17
Bermuda,,1253.14,1
Brazil,12751,268.27,1
Canada,15390,1216.66,1
Channel Islands,14936,4261.04,1
Channel Islands,14442,3727.40,2
Channel Islands,14930,2763.78,3
Channel Islands,14566,2660.00,4
Channel Islands,14564,2519.32,5
Channel Islands,14938,2289.43,6
Channel Islands,14935,1065.12,7
Channel Islands,14568,909.50,8
Channel Islands,14933,885.00,9
Channel Islands,14932,666.13,10
Channel Islands,14934,555.26,11
Channel Islands,14939,-934.66,12
Cyprus,12455,3413.09,1
Cyprus,12359,2469.36,2
Cyprus,12391,2286.93,3
Cyprus,12439,1104.48,4
Cyprus,12368,917.70,5
Cyprus,13809,524.65,6
Cyprus,12366,500.24,7
Denmark,13902,30411.26,1
Denmark,12435,6096.04,2
Denmark,12429,3685.11,3
Denmark,12406,2791.46,4
Denmark,12412,1354.15,5
Denmark,13919,975.87,6
Denmark,12449,768.60,7
Denmark,12403,591.66,8
Denmark,12423,298.80,9
EIRE,14156,183180.55,1
EIRE,14911,137675.91,2
EIRE,,24026.32,3
EIRE,14016,7051.25,4
EIRE,12745,201.56,5
EIRE,16047,107.14,6
Finland,12631,2811.77,1
Finland,12582,1469.04,2
Finland,12664,1188.16,3
Finland,12696,801.15,4
Finland,12588,724.08,5
Finland,12348,222.16,6
Finland,12404,63.24,7
Finland,12706,-91.89,8
France,12681,16874.17,1
France,12678,16262.87,2
France,12682,11657.59,3
France,12714,9384.85,4
France,12437,7498.19,5
France,12583,7157.56,6
France,12731,6879.80,7
France,12643,4536.26,8
France,12490,4400.71,9
France,12567,4278.88,10
France,12683,4197.51,11
France,12737,3710.50,12
France,12615,3273.69,13
France,12523,2475.28,14
France,12589,2447.49,15
France,12656,2338.06,16
France,12637,2318.41,17
France,12727,1698.83,18
France,12598,1411.99,19
France,12726,1405.50,20
France,12724,1286.11,21
France,12721,1277.70,22
France,12599,1264.14,23
France,12562,1185.18,24
France,,996.07,25
France,12577,995.95,26
France,12694,969.78,27
France,12553,896.57,28
France,12525,835.18,29
France,12695,825.02,30
France,12670,764.24,31
France,12575,622.82,32
France,12494,604.17,33
France,12573,556.87,34
France,12734,529.25,35
France,12677,389.30,36
France,12616,388.10,37
France,14277,367.47,38
France,12529,311.78,39
France,12655,261.35,40
France,12651,251.30,41
France,12728,233.84,42
France,12672,184.60,43
France,12441,173.55,44
France,12691,134.60,45
France,12692,110.95,46
France,12686,89.14,47
France,12466,56.73,48
Germany,12709,21018.51,1
Germany,12471,19207.69,2
Germany,12647,14012.87,3
Germany,12621,10967.24,4
Germany,12472,10727.21,5
Germany,12668,7637.53,6
Germany,12476,7169.04,7
Germany,12477,7056.63,8
Germany,12481,6626.17,9
Germany,12524,6605.64,10
Germany,12497,5168.65,11
Germany,12474,4849.98,12
Germany,12705,4739.76,13
Germany,12633,3454.58,14
Germany,12613,3372.54,15
Germany,12623,3334.74,16
Germany,13815,3270.88,17
Germany,12662,3132.09,18
Germany,12468,2900.51,19
Germany,12712,2738.03,20
Germany,12671,2622.48,21
Germany,12708,2501.84,22
Germany,12625,2481.06,23
Germany,12600,2374.75,24
Germany,12720,2334.60,25
Germany,12609,2291.01,26
Germany,12480,2153.47,27
Germany,12530,2066.23,28
Germany,12531,1773.83,29
Germany,12645,1743.72,30
Germany,12500,1666.04,31
Germany,12701,1648.70,32
Germany,12649,1634.99,33
Germany,12711,1339.05,34
Germany,12644,1337.63,35
Germany,12516,1336.56,36
Germany,13813,1333.01,37
Germany,12635,1241.23,38
Germany,12605,1225.45,39
Germany,12533,1149.99,40
Germany,12730,829.25,41
Germany,12693,809.46,42
Germany,12648,778.95,43
Germany,12632,738.88,44
Germany,12426,728.68,45
Germany,12592,715.02,46
Germany,13814,676.95,47
Germany,12699,638.11,48
Germany,12580,637.20,49
Germany,12673,619.50,50
Germany,12703,617.48,51
Germany,12492,452.00,52
Germany,12475,426.26,53
Germany,12499,393.72,54
Germany,12527,386.80,55
Germany,12519,354.35,56
Germany,12698,339.75,57
Germany,12427,303.50,58
Germany,12595,299.02,59
Germany,12504,297.00,60
Germany,12665,239.70,61
Germany,12663,204.00,62
Germany,12738,155.35,63
Germany,12619,140.14,64
Germany,12601,104.20,65
Germany,12652,97.05,66
Germany,12568,70.00,67
Germany,12590,-7.90,68
Greece,14439,6781.80,1
Greece,17508,4159.47,2
Greece,12511,3065.77,3
Greece,12717,277.93,4
Hong Kong,,3922.26,1
Iceland,12347,1323.32,1
Israel,12653,1950.98,1
Israel,12666,1248.42,2
Italy,12349,2646.99,1
Italy,12725,2266.76,2
Italy,12586,1848.73,3
Italy,12578,1819.09,4
Italy,12594,1724.29,5
Italy,12675,934.80,6
Italy,12505,912.50,7
Italy,12591,899.30,8
Italy,12514,580.08,9
Italy,12563,249.24,10
Italy,14912,-92.94,11
Japan,12755,4203.15,1
Japan,12770,1624.50,2
Japan,12798,1533.89,3
Japan,12810,534.99,4
Japan,12763,320.08,5
Japan,12799,219.35,6
Korea,12767,949.82,1
Korea,12768,0.00,2
Lebanon,,172.03,1
Lithuania,15332,4892.68,1
Malta,15480,2686.75,1
Netherlands,14646,243853.05,1
Netherlands,12759,3489.30,2
Netherlands,12806,2878.96,3
Netherlands,12802,1937.84,4
Netherlands,12813,1687.80,5
Netherlands,12805,1434.95,6
Netherlands,12765,1404.58,7
Netherlands,12803,1092.81,8
Netherlands,12778,953.45,9
Netherlands,12761,782.95,10
Netherlands,12786,728.50,11
Netherlands,12791,585.15,12
Netherlands,12788,444.90,13
Netherlands,12787,395.52,14
Netherlands,12796,381.00,15
Netherlands,12760,347.80,16
Netherlands,12780,337.40,17
Netherlands,12804,327.02,18
Netherlands,12775,300.08,19
